# title: Vicarello Beakers
# author: Anonymous
# language: la
# date (numeric): 300
# date: around 200 - 400 CE
# description: Dated to between 15 BCE and 15 CE, the Vicarello Beakers are four cylindrical vessels made of silver with heights varying between 95-153 mm. They were discovered in the Roman baths at Vicarello, Italy, apparently deposited as a votive offering. Although differing in the details, on the surface of each beaker is engraved the land route between Gades and Rome. They have traditionally been identified as miniature replicas of a milestone probably erected in Gades, perhaps similar in design to the Miliarium Aureum (the Golden Milestone) in Rome.
# collections: Latin Tradition
toponym;gazetteer_uri;gazetteer_label;lat;lng;place_category;document_part;status;tags;source;comment;img_x;img_y;img_all;
NEMAVSVM;http://pleiades.stoa.org/places/148142;Nemausus;43.8349;4.3596;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XV;;;;
AMBRVSSVM;http://pleiades.stoa.org/places/147990;Ambrussum;43.7154;4.1495;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XV;;;;
SEXTANTIONEM;http://pleiades.stoa.org/places/148202;Sextantio;43.6408;3.8967;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XV;;;;
FORVM DOMITI;http://pleiades.stoa.org/places/148081;Forum Domitii;43.5115;3.7024;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XVIII;;;;
CESSERONEM;http://pleiades.stoa.org/places/147997;Araura/Cessero;43.3951;3.4206;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XIII;;;;
BAETERRAS;http://pleiades.stoa.org/places/148056;Col. Baeterrae;43.3416;3.2178;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XVI;;;;
NARBONEM;http://pleiades.stoa.org/places/246347;Col. Narbo Martius;43.1847;3.0036;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XXXII;;;;
COMBVSTA;http://pleiades.stoa.org/places/246351;Combusta;42.7687;2.8718;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;VI;;;;
RVSCINONEM;http://pleiades.stoa.org/places/246348;Col. Ruscino;42.7087;2.9452;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XXV;;;;
IN PYRAENEVM;http://pleiades.stoa.org/places/246139;Ad Pyrenaeum/Summus Pyrenaeus;42.4723;2.869;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XVI;;;;
IVNCARIAM;http://pleiades.stoa.org/places/246449;Iuncaria;42.2754;2.9667;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XV;;;;
CILNIANAM;http://pleiades.stoa.org/places/246335;Cinniana;42.0947;2.9048;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XII;;;;
GERVNDAM;http://pleiades.stoa.org/places/246406;Gerunda;41.9873;2.8256;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XII;;;;
