collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;place_category;document_part;status;tags;comment;img_x;img_y;img_all;source
vb;vb0051;NEMAVSVM;http://pleiades.stoa.org/places/148142;Nemausus;4.3596;43.8349;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XV;;;;
vb;vb0050;VGERNVM;http://pleiades.stoa.org/places/148223;Ugernum;4.6446;43.8099;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XV;;;;
vb;vb0049;ARELATA;http://pleiades.stoa.org/places/148217;Theline/Col. Arelate/Constantina;4.6227;43.6759;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item;VIIII;;;;
vb;vb0048;ERGNAGINVM;http://pleiades.stoa.org/places/148074;Ernaginum;4.6981;43.7667;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;VI;;;;
vb;vb0047;CLANVM;http://pleiades.stoa.org/places/148093;Glanum;4.8329;43.7735;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;VIII;;;;
vb;vb0046;CABELLIONEM;http://pleiades.stoa.org/places/148027;Cabellio;5.0364;43.8363;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XII;;;;
vb;vb0045;APTAM IVLIAM;http://pleiades.stoa.org/places/147993;Apta Iulia;5.3972;43.8761;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XII;;;;
vb;vb0044;CATVIACIAM;http://pleiades.stoa.org/places/148041;Catuiacia;5.5962;43.8576;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XII;;;;
vb;vb0043;ALAVNIVM;http://pleiades.stoa.org/places/157800;Alaunium;5.8672;43.9462;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVI;;;;
vb;vb0042;SEGVSTERONEM;http://pleiades.stoa.org/places/157925;Segustero;5.9432;44.1947;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XXIIII;;;;
vb;vb0041;ALABONTEM;http://pleiades.stoa.org/places/167628;Alabonte;5.944;44.386;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVI;;;;
