FID,the_geom,SRC,STATUS,SYS_ID,YZ_LABEL,YZNM_PY,YZNM_CH,YZNM_FT,AT_TWN_PY,GB10_CNTY,10CNTY_CH,10CNTY_EN,10DIST_CH,10DIST_EN,10PROV_CH,10PROV_EN,CHGIS_ID,long,lat
ming_courier_stations_2014_p8k.201,POINT (117.15816497802734 35.086090087890625),MDYZK,Y,203,TENGYANG Shandong (???),TENGYANG,???,???,,370481,???,Tengzhou,???,Zaozhuang,???,Shandong,999,117.15816,35.08609
ming_courier_stations_2014_p8k.202,POINT (117.18768310546875 34.26963424682617),MDYZK,N,204,LIGUOJIAN Jiangsu (????),LIGUOJIAN,????,????,,320302,???,Gulou,???,Xuzhou,???,Jiangsu,,117.18768,34.26963
ming_courier_stations_2014_p8k.203,POINT (117.27645874023438 31.864456176757812),MDYZK,Y,205,JINDOUYI Anhui (???),JINDOUYI,???,???,HUCHENG,340103,???,Zhongshi,???,Hefei,???,Anhui,1561,117.27646,31.86446
ming_courier_stations_2014_p8k.204,POINT (117.40181732177734 40.04386520385742),MDYZK,Y,206,YUYANG Tianjin (???),YUYANG,???,???,,120225,??,Jixian,???????,Tianjin (Counties),???,Tianjin,94,117.40182,40.04387
ming_courier_stations_2014_p8k.205,POINT (117.45860290527344 33.09572982788086),MDYZK,Y,207,WANGZHUAN Anhui (???),WANGZHUAN,???,???,,340323,???,Guzhen,???,Bengbu,???,Anhui,,117.4586,33.09573
ming_courier_stations_2014_p8k.206,POINT (117.31170700000004 33.314575000000055),MDYZK,Y,208,GUZHENYI Anhui (???),GUZHENYI,???,???,,340323,???,Guzhen,???,Bengbu,???,Anhui,130516,117.31171,33.31458
ming_courier_stations_2014_p8k.207,POINT (117.63999938964844 32.900001525878906),MDYZK,Y,209,HONGXIN Anhui (???),HONGXIN,???,???,,341126,???,Fengyang,???,Chuzhou,???,Anhui,23064,117.64,32.9
ming_courier_stations_2014_p8k.208,POINT (117.67568969726562 32.53024673461914),MDYZK,Y,210,DINGYUAN Anhui (??),DINGYUAN,??,??,,341125,???,Dingyuan,???,Chuzhou,???,Anhui,1672,117.67569,32.53025
ming_courier_stations_2014_p8k.209,POINT (117.75477600097656 39.883670806884766),MDYZK,Y,211,YANGFAN Hebei (???),YANGFAN,???,???,,130229,???,Yutian,???,Tangshan,???,Hebei,18,117.75478,39.88367
ming_courier_stations_2014_p8k.210,POINT (117.94049835205078 32.51546859741211),MDYZK,Y,212,CHIHE Anhui (???),CHIHE,???,???,,341125,???,Dingyuan,???,Chuzhou,???,Anhui,,117.9405,32.51547
