# title: Ming Dynasty Courier Routes and Postal Stations
# places: places_courier.csv
# timespan: [1368,,,1644,Late Ming Dynasty]
# pub_date: 2014
# segmentType: hroute
# contributors: [Lex Berman (CGA, Harvard Univ); Zhang Wei (Nankai University, Tianjin)]
# description: The Late Ming Dynasty Courier Stations and Routes were compiled primarily from the "Mingdai Yizhankao" by YANG Zhengtai, supplemented for some areas with information derived from the 1908 Postal Atlas. The Courier Stations and Routes were developed for use in an online network analyst application, which calculates the shortest route between selected postal stations on the fly:    http://maps.cga.harvard.edu/chinapostoffice/
# uri: https://github.com/kgeographer/topotime/tree/master/data/source/courier/README_Ming_Courier_Routes_Stations_2014.txt
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;maj_minor;src
courier;4000;4000-41;126;134;XINGSHAN Hebei (陉山驿) - ZHENNING Hebei (镇宁驿);{"type":"MultiLineString","coordinates":[[[114.307723999023,38.0831108093262],[114.017784118652,38.006160736084]]]};;;;2;MDYZK
courier;4000;4000-42;117;126;BAIJING Shanxi (柏井驿) - XINGSHAN Hebei (陉山驿);{"type":"MultiLineString","coordinates":[[[114.017784118652,38.006160736084],[113.805000305176,37.8194427490236]]]};;;;2;MDYZK
courier;4000;4000-43;114;117;PINGTANYI Shanxi (平潭驿) - BAIJING Shanxi (柏井驿);{"type":"MultiLineString","coordinates":[[[113.805000305176,37.8194427490236],[113.622268676758,37.8020362854004]]]};;;;2;MDYZK
courier;4000;4000-44;110;114;QINQUANYI Shanxi (芹泉驿) - PINGTANYI Shanxi (平潭驿);{"type":"MultiLineString","coordinates":[[[113.622268676758,37.8020362854004],[113.2743,37.8696020000001]]]};;;;2;MDYZK
courier;4000;4000-45;103;110;TAI'AN Shanxi (太安驿) - QINQUANYI Shanxi (芹泉驿);{"type":"MultiLineString","coordinates":[[[113.2743,37.8696020000001],[113.16870880127,37.8867835998536]]]};;;;2;MDYZK
courier;4000;4000-46;91;103;MINGQIAN Shanxi (鸣谦驿) - TAI'AN Shanxi (太安驿);{"type":"MultiLineString","coordinates":[[[113.16870880127,37.8867835998535],[112.697799682617,37.7678604125977]]]};;;;2;MDYZK
courier;4000;4000-47;89;91;LINFENYI Shanxi (临汾驿) - MINGQIAN Shanxi (鸣谦驿);{"type":"MultiLineString","coordinates":[[[112.697799682617,37.7678604125977],[112.478928,37.727589]]]};;;;2;MDYZK
courier;4000;4000-48;164;170;LAISHUI Hebei (涞水) - ZHULUYI Hebei (逐鹿驿);{"type":"MultiLineString","coordinates":[[[115.968147277832,39.4872207641603],[115.703201293945,39.3861503601075]]]};;;;1;1903 atlas
courier;4000;4000-49;147;496;GUANGCHANG Hebei (广昌) - BANBIDIAN Hebei (高碑店);{"type":"MultiLineString","coordinates":[[[115.37705082833,39.3530719113947],[114.688774108887,39.3540153503417]]]};;;;1;1903 atlas
courier;4000;4000-50;130;147;TAIBAI Shanxi (太白驿) - GUANGCHANG Hebei (广昌);{"type":"MultiLineString","coordinates":[[[114.688774108887,39.3540153503418],[114.229217529297,39.437744140625]]]};;;;1;MDYZK
courier;4000;4000-51;122;130;WANGJIAZHUANG Shanxi (王家庄驿) - TAIBAI Shanxi (太白驿);{"type":"MultiLineString","coordinates":[[[114.229217529297,39.4377441406251],[113.916412,39.4309390000002]]]};;;;1;MDYZK
courier;4000;4000-52;105;602;FANZHI Shanxi (繁峙) - SHAJIANYI Shanxi (砂涧驿);{"type":"MultiLineString","coordinates":[[[113.544609,39.2751500000001],[113.272003173828,39.189998626709]]]};;;;1;MDYZK
courier;4000;4000-53;98;105;YANMEN Shanxi (雁门驿) - FANZHI Shanxi (繁峙);{"type":"MultiLineString","coordinates":[[[113.272003173828,39.189998626709],[112.949043273926,39.0603904724121]]]};;;;1;MDYZK
courier;4000;4000-54;93;98;YUANPING Shanxi (原平驿) - YANMEN Shanxi (雁门驿);{"type":"MultiLineString","coordinates":[[[112.949043273926,39.0603904724121],[112.712097167969,38.7266006469727]]]};;;;1;MDYZK
courier;4000;4000-55;89;603;LINFENYI Shanxi (临汾驿) - JIUYUANYI Shanxi (九原驿);{"type":"MultiLineString","coordinates":[[[112.731201,38.3985630000001],[112.478928,37.727589]]]};;;;1;MDYZK
courier;4000;4000-56;182;186;DONGGUANG Hebei (东光驿) - ANDE Shandong (安德);{"type":"MultiLineString","coordinates":[[[116.258102416992,37.6880073547363],[116.287414550781,37.4516448974609]]]};;;;1;MDYZK
courier;4000;4000-57;184;186;TAIPING Shandong (太平驿) - ANDE Shandong (安德);{"type":"MultiLineString","coordinates":[[[116.287414550781,37.4516448974609],[116.275787353516,37.151123046875]]]};;;;1;MDYZK
courier;4000;4000-58;180;184;YUQIU Shandong (鱼丘驿) - TAIPING Shandong (太平驿);{"type":"MultiLineString","coordinates":[[[116.275787353516,37.151123046875],[116.231002807617,36.8616218566895]]]};;;;1;MDYZK
courier;4000;4000-59;180;181;YUQIU Shandong (鱼丘驿) - CHISHAN Shandong (茌山驿);{"type":"MultiLineString","coordinates":[[[116.231002807617,36.8616218566895],[116.250228881836,36.5866165161133]]]};;;;1;MDYZK
courier;4000;4000-60;181;652;CHISHAN Shandong (茌山驿) - TONGCHENGYI Shandong (铜城驿);{"type":"MultiLineString","coordinates":[[[116.250228881836,36.5866165161133],[116.239425,36.3295860000001]]]};;;;1;MDYZK
courier;4000;4000-61;187;653;DONGYUAN Shandong (东原驿) - JIUXIANYI Shandong (旧县驿);{"type":"MultiLineString","coordinates":[[[116.236664,36.1210210000001],[116.299171447754,35.910343170166]]]};;;;1;MDYZK
courier;4000;4000-62;187;190;DONGYUAN Shandong (东原驿) - XINQIAO Shandong (新桥驿);{"type":"MultiLineString","coordinates":[[[116.299171447754,35.910343170166],[116.485557556152,35.7298545837402]]]};;;;1;MDYZK
courier;4000;4000-63;196;651;CHANGPINGYI Shandong (昌平驿) - XINJIAYI Shandong (新嘉驿);{"type":"MultiLineString","coordinates":[[[116.669609,35.6504020000001],[116.823699951172,35.556697845459]]]};;;;1;MDYZK
courier;4000;4000-64;196;199;CHANGPINGYI Shandong (昌平驿) - ZHU Shandong (邾城驿);{"type":"MultiLineString","coordinates":[[[116.823699951172,35.556697845459],[116.968437194824,35.4038200378418]]]};;;;1;
courier;4000;4000-65;199;203;ZHU Shandong (邾城驿) - TENGYANG Shandong (滕阳驿);{"type":"MultiLineString","coordinates":[[[116.968437194824,35.4038200378418],[117.158164978027,35.0860900878906]]]};;;;1;MDYZ1K
courier;4000;4000-66;203;204;TENGYANG Shandong (滕阳驿) - LIGUOJIAN Jiangsu (利国监驿);{"type":"MultiLineString","coordinates":[[[117.158164978027,35.0860900878906],[117.187683105469,34.2696342468262]]]};;;;1;
courier;4000;4000-67;200;204;SUIYANGYI Anhui (睢阳驿) - LIGUOJIAN Jiangsu (利国监驿);{"type":"MultiLineString","coordinates":[[[117.187683105469,34.2696342468262],[116.971397399902,33.6423683166504]]]};;;;1;
courier;4000;4000-68;200;208;SUIYANGYI Anhui (睢阳驿) - GUZHENYI Anhui (固镇驿);{"type":"MultiLineString","coordinates":[[[116.971397399902,33.6423683166504],[117.311707,33.3145750000002]]]};;;;1;MDYZK
courier;4000;4000-69;207;208;WANGZHUAN Anhui (王庄驿) - GUZHENYI Anhui (固镇驿);{"type":"MultiLineString","coordinates":[[[117.311707,33.3145750000002],[117.458602905273,33.0957298278809]]]};;;;1;MDYZK
courier;4000;4000-70;207;655;WANGZHUAN Anhui (王庄驿) - HAOLIANGYI Anhui (濠梁驿);{"type":"MultiLineString","coordinates":[[[117.458602905273,33.0957298278809],[117.537746,32.8653480000002]]]};;;;1;
courier;4000;4000-71;209;212;HONGXIN Anhui (红心驿) - CHIHE Anhui (池河驿);{"type":"MultiLineString","coordinates":[[[117.639999389648,32.9000015258789],[117.940498352051,32.5154685974121]]]};;;;1;MDYZK
courier;4000;4000-72;212;217;CHIHE Anhui (池河驿) - DALIUSHU Anhui (大柳树驿);{"type":"MultiLineString","coordinates":[[[117.940498352051,32.5154685974121],[118.304161071777,32.3169937133789]]]};;;;1;MDYZK
courier;4000;4000-73;217;220;DALIUSHU Anhui (大柳树驿) - JIANGDONGYI Jiangsu (江东驿);{"type":"MultiLineString","coordinates":[[[118.304161071777,32.3169937133789],[118.617599487305,32.064868927002]]]};;;;1;
courier;4000;4000-74;220;224;JIANGDONGYI Jiangsu (江东驿) - JIANGNINGYI Jiangsu (江宁驿);{"type":"MultiLineString","coordinates":[[[118.617599487305,32.064868927002],[118.768989562988,32.052562713623]]]};;;;1;
courier;4000;4000-75;210;655;DINGYUAN Anhui (定远) - HAOLIANGYI Anhui (濠梁驿);{"type":"MultiLineString","coordinates":[[[117.537746,32.8653480000002],[117.675689697266,32.5302467346193]]]};;;;1;MDYZK
courier;4000;4000-76;205;656;JINDOUYI Anhui (金斗驿) - HUCHENGYI Anhui (护城驿);{"type":"MultiLineString","coordinates":[[[117.599998474121,32.0499992370607],[117.276458740234,31.8644561767579]]]};;;;1;MDYZK
courier;4000;4000-77;197;658;SHUCHENG Anhui (舒城驿) - SANGOUYI Anhui (三沟驿);{"type":"MultiLineString","coordinates":[[[116.975045,31.5028980000001],[116.938537597656,31.4564476013183]]]};;;;1;MDYZK
courier;4000;4000-78;197;661;SHUCHENG Anhui (舒城驿) - MEIXINYI Anhui (梅心驿);{"type":"MultiLineString","coordinates":[[[116.938537597656,31.4564476013183],[117.02015,31.3403730000001]]]};;;;1;MDYZK
courier;4000;4000-79;186;189;ANDE Shandong (安德) - TAOYUAN Shandong (桃源驿);{"type":"MultiLineString","coordinates":[[[116.287414550781,37.4516448974609],[116.429069519043,37.1577339172363]]]};;;;1;MDYZK
courier;4000;4000-80;189;192;TAOYUAN Shandong (桃源驿) - LIUPU Shandong (刘普驿);{"type":"MultiLineString","coordinates":[[[116.429069519043,37.1577339172363],[116.652389526367,36.9453582763672]]]};;;;1;MDYZK
courier;4000;4000-81;192;195;LIUPU Shandong (刘普驿) - YANCHENG Shandong (宴城驿);{"type":"MultiLineString","coordinates":[[[116.652389526367,36.9453582763672],[116.780632019043,36.7010765075684]]]};;;;1;MDYZK
courier;4000;4000-82;234;236;YANGZHOU Jiangsu (扬州府) - JINGKOU Jiangsu (京口驿);{"type":"MultiLineString","coordinates":[[[119.437187194824,32.3912696838379],[119.444290161133,32.2064895629883]]]};;;;1;
courier;4000;4000-83;236;239;JINGKOU Jiangsu (京口驿) - YUNYANG Jiangsu (云阳驿);{"type":"MultiLineString","coordinates":[[[119.444290161133,32.2064895629883],[119.569854736328,31.9958019256592]]]};;;;1;MDYZK
courier;4000;4000-84;239;242;YUNYANG Jiangsu (云阳驿) - PILING Jiangsu (毗陵驿);{"type":"MultiLineString","coordinates":[[[119.569854736328,31.9958019256592],[119.952301025391,31.7827835083008]]]};;;;1;MDYZK
