collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;379;BAISHITANXU Guangdong (白石潭);http://maps.cga.harvard.edu/tgaz/placename/hvd_126560;;112.759628;24.126741;P;PA_1903;
courier;380;DUBUXU Guangdong (社步墟);http://maps.cga.harvard.edu/tgaz/placename/hvd_127321;;112.662041;24.328947;L;PA_1903;
courier;381;SHUIKOU Guangdong (水口);http://maps.cga.harvard.edu/tgaz/placename/hvd_16904;;112.713646;24.396185;N;PA_1903;
courier;382;YANGSHAN Guangdong (阳山);http://maps.cga.harvard.edu/tgaz/placename/hvd_271;;112.638267;24.485014;B;PA_1903;
courier;383;LIANZHOU Guangdong (连州);http://maps.cga.harvard.edu/tgaz/placename/hvd_9544;;112.378121;24.779701;B;PA_1903;
courier;384;SANJIANG Guangdong (三江);http://maps.cga.harvard.edu/tgaz/placename/hvd_127297;;112.282501;24.718811;N;PA_1903;
courier;385;SANZHOU Guangdong (三洲);http://maps.cga.harvard.edu/tgaz/placename/hvd_17112;;112.848000;22.889000;N;PA_1903;
courier;386;GAOMING Guangdong (高明);http://maps.cga.harvard.edu/tgaz/placename/hvd_311;;112.695587;22.862335;Y;MDYZK;
courier;387;SIHUI Guangdong (四会);http://maps.cga.harvard.edu/tgaz/placename/hvd_291;;112.694534;23.348709;Y;MDYZK;
courier;388;GUANGNING Guangdong (广宁);http://maps.cga.harvard.edu/tgaz/placename/hvd_290;;112.431320;23.642736;Y;MDYZK;
courier;389;HUAIJI Guangdong (怀集驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_44194;;112.179237;23.912186;B;PA_1903;
courier;390;JIAOYIXU Guangxi (校椅);http://maps.cga.harvard.edu/tgaz/placename/hvd_155200;;109.239464;22.835493;N;PA_1903;
courier;391;QINZHOU Guangxi (钦州);http://maps.cga.harvard.edu/tgaz/placename/hvd_320;;108.614395;21.951426;L;PA_1903;
courier;392;SUIXI Guangdong (遂溪);http://maps.cga.harvard.edu/tgaz/placename/hvd_322;;110.250893;21.382980;B;PA_1903;
courier;393;CHENGYUE Guangdong (城月);http://maps.cga.harvard.edu/tgaz/placename/hvd_127093;;110.074829;21.174923;Y;MDYZK;
courier;394;YANGJING Guangdong (洋菁);http://maps.cga.harvard.edu/tgaz/placename/hvd_127090;;110.114960;21.366423;N;PA_1903;
courier;395;HAIKANG Guangdong (海康);http://maps.cga.harvard.edu/tgaz/placename/hvd_42434;;110.087914;20.901958;N;PA_1903;
courier;396;YINGLI Guangdong (英利驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_17252;;110.083938;20.568853;Y;MDYZK;
courier;397;XUWEN Guangdong (徐闻);http://maps.cga.harvard.edu/tgaz/placename/hvd_344;;110.162781;20.329676;Y;MDYZK;
courier;398;SHICHENG Guangdong (石城);http://maps.cga.harvard.edu/tgaz/placename/hvd_325;;110.273559;21.593603;N;PA_1903;
courier;399;LINGSHUIYI Guangdong (陵水驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_1784;;110.625313;21.654028;N;MDYZK;
courier;400;NANSHENG Guangdong (南盛);http://maps.cga.harvard.edu/tgaz/placename/hvd_126930;;110.706650;21.731747;N;PA_1903;
courier;401;SHIGU Guangdong (石鼓);http://maps.cga.harvard.edu/tgaz/placename/hvd_126929;;110.764030;21.830734;N;PA_1903;
courier;402;GAOZHOU Guangdong (高州);http://maps.cga.harvard.edu/tgaz/placename/hvd_9554;;110.853813;21.919214;Y;MDYZK;
