FID,the_geom,MAJ_MINOR,SOURCE
ming_courier_routes_2014_kei.128,"MULTILINESTRING ((112.88607025146484 23.165868759155273, 113.25606536865234 23.134624481201172))",1,
ming_courier_routes_2014_kei.129,"MULTILINESTRING ((114.07026672363281 35.41038513183594, 113.86824798583984 35.309940338134766))",1,
ming_courier_routes_2014_kei.130,"MULTILINESTRING ((113.53441600000008 34.87436300000013, 113.64131164550793 34.75807571411133))",1,1903 atlas
ming_courier_routes_2014_kei.131,"MULTILINESTRING ((113.64131164550781 34.75807571411133, 113.71908569335938 34.39732360839844))",1,MDYZK
ming_courier_routes_2014_kei.132,"MULTILINESTRING ((113.96063995361328 33.8086051940918, 113.9656982421875 33.582210540771484))",1,MDYZK
ming_courier_routes_2014_kei.133,"MULTILINESTRING ((113.9656982421875 33.582210540771484, 114.01553344726562 33.38905715942383))",1,MDYZK
ming_courier_routes_2014_kei.134,"MULTILINESTRING ((114.01553344726574 33.389057159423885, 114.25935300000003 33.267239000000075))",1,MDYZK
ming_courier_routes_2014_kei.135,"MULTILINESTRING ((114.25935300000003 33.267239000000075, 114.34424850371624 33.00481606072282))",1,MDYZK
ming_courier_routes_2014_kei.136,"MULTILINESTRING ((114.34424850371624 33.00481606072282, 114.38121000000001 32.609119000000135))",2,MDYZK
ming_courier_routes_2014_kei.137,"MULTILINESTRING ((113.68689727783203 31.252609252929688, 113.7332992553711 31.020029067993164))",2,MDYZK
ming_courier_routes_2014_kei.138,"MULTILINESTRING ((113.7332992553711 31.020029067993164, 113.81085200000007 30.764212000000043))",2,MDYZK
ming_courier_routes_2014_kei.139,"MULTILINESTRING ((113.81085200000007 30.764212000000043, 114.02563499999997 30.580984))",1,MDYZK
ming_courier_routes_2014_kei.140,"MULTILINESTRING ((114.02563499999997 30.580984, 114.26192474365246 30.54437446594244))",1,MDYZK
ming_courier_routes_2014_kei.141,"MULTILINESTRING ((114.26192474365234 30.544374465942383, 114.3191909790039 30.541385650634766))",1,MDYZK
